device_number,epoch_time_utc,active_seconds,device_coherence,significance
337,1775019839,3600,178.9335,Normal
337,1775019899,3600,188.0902,Normal
337,1775019959,3600,215.8515,Normal
337,1775020019,3600,225.7846,Normal
337,1775020079,3600,217.3548,Normal
337,1775020139,3600,198.5155,Normal
337,1775020199,3600,212.1713,Normal
337,1775020259,3600,178.2366,Normal
337,1775020319,3600,122.3042,Normal
337,1775020379,3600,119.6053,Normal
337,1775020439,3600,99.4889,Normal
337,1775020499,3600,81.8995,Normal
337,1775020559,3600,44.8143,Normal
337,1775020619,3600,17.3391,Normal
337,1775020679,3600,48.212,Normal
337,1775020739,3600,21.3589,Normal
337,1775020799,3600,28.4344,Normal
337,1775020859,3600,21.9903,Normal
337,1775020919,3600,27.0063,Normal
337,1775020979,3600,88.9715,Normal
337,1775021039,3600,87.4721,Normal
337,1775021099,3600,25.86,Normal
337,1775021159,3600,31.5243,Normal
337,1775021219,3600,44.3174,Normal
337,1775021279,3600,51.9859,Normal
337,1775021339,3600,9.8214,Normal
337,1775021399,3600,5.8647,Normal
337,1775021459,3600,10.419,Normal
337,1775021519,3600,8.5106,Normal
337,1775021579,3600,22.9519,Normal
337,1775021639,3600,16.3811,Normal
337,1775021699,3600,41.6552,Normal
337,1775021759,3600,21.9053,Normal
337,1775021819,3600,40.4529,Normal
337,1775021879,3600,11.2335,Normal
337,1775021939,3600,45.5423,Normal
337,1775021999,3600,4.5782,Normal
337,1775022059,3600,4.9988,Normal
337,1775022119,3600,38.727,Normal
337,1775022179,3600,57.8762,Normal
337,1775022239,3600,60.6427,Normal
337,1775022299,3600,21.0478,Normal
337,1775022359,3600,45.5512,Normal
337,1775022419,3600,60.1787,Normal
337,1775022479,3600,114.3736,Normal
337,1775022539,3600,99.7175,Normal
337,1775022599,3600,72.0686,Normal
337,1775022659,3600,58.739,Normal
337,1775022719,3600,41.9595,Normal
337,1775022779,3600,54.4965,Normal
337,1775022839,3600,102.659,Normal
337,1775022899,3600,86.0057,Normal
337,1775022959,3600,75.6711,Normal
337,1775023019,3600,76.6769,Normal
337,1775023079,3600,101.8448,Normal
337,1775023139,3600,112.4088,Normal
337,1775023199,3600,102.1148,Normal
337,1775023259,3600,129.4498,Normal
337,1775023319,3600,124.8889,Normal
337,1775023379,3600,130.8206,Normal
337,1775023439,3600,157.0711,Normal
337,1775023499,3600,146.1057,Normal
337,1775023559,3600,157.2006,Normal
337,1775023619,3600,196.4557,Normal
337,1775023679,3600,200.0327,Normal
337,1775023739,3600,193.1992,Normal
337,1775023799,3600,162.7326,Normal
337,1775023859,3600,143.1915,Normal
337,1775023919,3600,122.5265,Normal
337,1775023979,3600,132.1245,Normal
337,1775024039,3600,135.9764,Normal
337,1775024099,3600,145.821,Normal
337,1775024159,3600,98.3584,Normal
337,1775024219,3600,73.7823,Normal
337,1775024279,3600,54.689,Normal
337,1775024339,3600,68.6206,Normal
337,1775024399,3600,69.0954,Normal
337,1775024459,3600,63.89,Normal
337,1775024519,3600,57.6097,Normal
337,1775024579,3600,98.105,Normal
337,1775024639,3600,128.0851,Normal
337,1775024699,3600,84.8448,Normal
337,1775024759,3600,47.6508,Normal
337,1775024819,3600,17.8809,Normal
337,1775024879,3600,29.22,Normal
337,1775024939,3600,10.9566,Normal
337,1775024999,3600,11.1808,Normal
337,1775025059,3600,28.7046,Normal
337,1775025119,3600,29.5798,Normal
337,1775025179,3600,23.6617,Normal
337,1775025239,3600,68.5208,Normal
337,1775025299,3600,48.6388,Normal
337,1775025359,3600,44.0435,Normal
337,1775025419,3600,55.3918,Normal
